# DST Türkçe Yama — Terim Sözlüğü (Glossary)
# Format: EN_term <TAB> TR_term <TAB> notes
# Bu dosya çevirilerde MUTLAK referanstır. Yeni terim eklerken karakter ses tonunu, kafiyeyi, oyun bağlamını düşün.
# Yorum satırı için '#' kullan. Boş satırlar atlanır.
#
# === İSTAT/SİSTEM ===
Sproutrock	Filiztaşı	(Atriyum lunar plant; sprout+rock)
Gloomthorn	Kasvetdiken	(Atriyum nightvision plant; gloom+thorn)
Brightshade	Aydıngölge	(lunar plant zırhı; bright+shade)
Brambleshade	Dikengölge	(lunar plant zırhı varyant; bramble+shade)
Moonglass	Aycam	(lunar mineral; moon+glass)
Lunarune	Aysi Rün	(lunar+rune)
Werebeaver	Kunduzkurt	(Werepig=Kurtdomuz analoğu)
Weremoose	Kurttos	(Moose=Tos glossary'den)
Weregoose	Kurtkaz
Birchnutter	Tohumcuk	(Birchnut'tan canlanan canavar)
Grumble Bee	Hırlayan Arı	(Bee Queen guard)
Clockwork Bishop	Mekanik Şah	(satranç-temalı clockwork)
Sequitor	Sequitor	(Latince "takip eden"; Atriyum minionu)
Accomploshrine	Başarıkonak	(accomplishment+shrine portmanto)
Hibearnation Vest	Kışayuyku Yeleği	(hibernation+bear pun)
Pinetree Pioneer	Çamağacı Öncüsü	(Walter'ın izci grubu)
Naked Nostrils	Çıplak Burunlar	(Bat eşyası, Klei dark humor)
Milkmade Hat	Sütlü Şapka	(milkmade pun)
#
# === STAGE PLAY ROLLER (CHARACTER_TITLES) ===
The Fearless	Korkusuz	(Walter)
The Timekeeper	Zaman Bekçisi	(Wanda)
The Culinarian	Aşçı	(Warly)
The Performance Artist	Performans Sanatçısı	(Wigfrid)
The Puppet Master	Kuklacı	(Maxwell)
The Indigestible	Hazmedilmez	(Webber, dark humor)
The Bereaved	Yaslı	(Wendy)
The Silent	Sessiz	(Wes)
The Librarian	Kütüphaneci	(Wickerbottom)
The Firestarter	Ateş Uşağı	(Willow)
The Gentleman Scientist	Centilmen Bilim İnsanı	(Wilson)
The Handywoman	Tamirci Hanım	(Winona)
The Strongman	Güçlü Adam	(Wolfgang)
The Accursed	Lanetli	(Wonkey)
The Lumberjack	Oduncu	(Woodie)
The Lonesome	Yalnız	(Wormwood)
The Soul Starved	Ruh Aç	(Wortox)
The Half-Pint	Mini Mini	(Wurt)
The Soulless Automaton	Ruhsuz Otomaton	(WX-78)
#
# === KARGANAVAL (CAWNIVAL) ===
Corvus Goodfeather	Corvus İyitüy	(Karganaval host'u; Corvus=Latince karga cinsi korunur, Goodfeather=İyitüy)
Goodfeather	İyitüy	(short form)
Egg Scramble	Yumurta Telaşı	(Karganaval mini oyun; "scramble" telaş+çırpılmış yumurta pun korundu)
Hubbub for Grub	Yem için Yaygara	(Karganaval mini oyun; alliterasyon: y-y)
Prize Booth	Ödül Kulübesi
Cawnival Tree	Karganaval Ağacı
Carnival Tree	Karganaval Ağacı
Token	Jeton	(Karganaval para birimi)
Ticket	Bilet	(Karganaval ödül kuponu)
featherfree	tüysüz	(karga argosu — kanatsız mahluklar için)
Squawck	Gak	(karga sesi pun; "Squawck about X" → "Gak desem az gelir, X")
#
# === STAGE PLAY (SAHNE OYUNU) ROLLER ===
The Artificer	Zanaatkâr	(Atriyum sahne oyunu rolü)
The Blacksmith	Demirci
The Doll	Oyuncak Bebek
The Broken Doll	Kırık Bebek
The Shattered Doll	Paramparça Bebek	(klei kasıtlı ironi: DOLL_REPAIRED key=shattered)
Elytra	Elytra	(Latin böcek kanat terimi; özel isim olarak korunur)
The Fool	Joker	(Balatro-uyumlu; tiyatro fool karakteri)
The Halfwit	Akılsız
The King	Kral
The Mirror	Ayna
The Princess	Prenses
The Queen	Kraliçe
The Sage	Bilge
The Toady	Yağcı
The Tree	Ağaç
The Visionist	Görücü	("vision" eski Türkçe "görü" → "görücü")
#
# === KARAKTERLER (özel isim, çeviri yok) ===
Wilson	Wilson
Willow	Willow
Wolfgang	Wolfgang
Wendy	Wendy
WX-78	WX-78
Wickerbottom	Wickerbottom
Woodie	Woodie
Maxwell	Maxwell	(soyad: The Magnificent → Şahane)
Wathgrithr	Wathgrithr	bilinen lakap "Wigfrid" — özel isim
Wigfrid	Wigfrid
Webber	Webber
Winona	Winona
Warly	Warly
Wormwood	Wormwood
Wortox	Wortox
Wurt	Wurt
Walter	Walter
Wanda	Wanda
Abigail	Abigail
Charlie	Charlie
#
# === ITEM ÖRNEKLERİ (genişletilecek, ~500 hedefi) ===
Pretty Parasol	Şirin Şemsiye	kafiye korunsun
Eyebrella	Gözlemsiye	"eye+umbrella" portmanto → "göz+şemsiye"
Tam o' Shanter	Tam Şapkası	İskoç şapkası, telafuz korundu
Football Helmet	Futbol Kaskı
Log Suit	Kütük Zırh
Marble Suit	Mermer Zırh
Backpack	Sırt Çantası
Piggyback	Domuzçanta	(piggy+back portmanto)
Krampus Sack	Krampus Çuvalı
Spear	Mızrak
Tentacle Spike	Dokunaç Diken
Ham Bat	Jambon Sopa
Dark Sword	Kara Kılıç
Battle Spear	Savaş Mızrağı
Bee Box	Arı Kutusu
Beefalo	Bızonsığır	(beefalo özel ama Türkçeye uyarlama; alternatif: "Bizon" tek başına)
Drumstick	BuT	(tavuk budu anlamında)
Monster Meat	Canavar Eti
Meatballs	Köfte
Pierogi	Mantı	(yerelleştirme; "pierogi" Türk halkına yakın değil)
Honey Ham	Ballı Jambon
Jerky	Pastırma	(jerky → pastırma yerelleştirme)
Berry	Meyve
Carrot	Havuç
Pumpkin	Bal Kabağı
Twigs	Çubuk
Grass	Çayır	("ot" değil; Long Grass = Uzun Çayır)
Cut Grass	Biçilmiş Çayır
Log	Kütük
Boards	Tahta
Rocks	Taş
Flint	Çakmaktaşı
Gold Nugget	Altın Külçesi
Silk	İpek
Hound's Tooth	İt Dişi	("hound" → "it/tazı"; "tazı dişi" alternatif)
Bone Shard	Kemik Kırığı
Glommer's Goop	Glommer Sümüğü
#
# === BİYOMLAR & YAPILAR ===
Forest	Orman
Cave	Mağara
Ruins	Harabeler
Atrium	Atriyum
Lunar Island	Ay Adası
Oasis	Vaha
Swamp	Bataklık
Rocklands	Taşlık
Lights Out	Işıklar Sönsün
Lava Pond	Lav Gölü
Touch Stone	Diriliş Taşı	(meaning > literal: bu taş seni dirilten)
Telltale Heart	Yürek Tılsımı	("telltale" → ifşa eden, ama kontekst: bu kalp seni geri getirir)
Meat Effigy	Et Heykel
Florid Postern	Çiçekli Çeşmecik	("florid" çiçekli; "postern" küçük arka kapı)
#
# === MENÜ & UI ===
Play	Oyna
Browse Games	Oyun Listesi
Host Game	Oyun Kur	("ev sahipliği yap" çok uzun)
Item Collection	Eşya Koleksiyonu
Compendium	Külliyat	(eski Türkçe ama Wickerbottom'a yakışır)
Options	Ayarlar
Mods	Modlar
Quit	Çıkış
Save	Kaydet
Load	Yükle
Cancel	İptal
Apply	Uygula
Accept	Onayla
Disconnect	Bağlantıyı Kes
Resume	Devam Et
New Game	Yeni Oyun
Continue	Devam
Servers	Sunucular
Friends	Arkadaşlar
Steam	Steam
Workshop	Atölye
